,prop_pk1,prop_1,prop_2,prop_3,prop_4,prop_pk2,uf,partido,orgao
425,LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBE,,,,DEP. LUIS HENRIQUE DE OLIVEIRA RESENDE,MG,AVANTE,camara
426,LUISA CANZIANI DOS SANTOS SILVEIRA,,,,,DEP. LUISA CANZIANI DOS SANTOS SILVEIRA,PR,PTB,camara
427,LUIZ ANTONIO C. C. CORREA DA SILVA,,,,,DEP. LUIZ ANTONIO C. C. CORREA DA SILVA,RJ,PL,camara
428,LUIZ CARLOS MOTTA,,,,,DEP. LUIZ CARLOS MOTTA,SP,PL,camara
429,LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,,,,,DEP. LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,RJ,PSL,camara
430,LUIZ HILOSHI NISHIMORI,,,,,DEP. LUIZ HILOSHI NISHIMORI,PR,PL,camara
431,LUIZ PHILIPPE DE ORLEANS BRAGANCA,,,,,DEP. LUIZ PHILIPPE DE ORLEANS BRAGANCA,SP,PSL,camara
432,LUIZA ERUNDINA DE SOUSA,,,,,DEP. LUIZA ERUNDINA DE SOUSA,SP,PSOL,camara
433,LUIZ GOULARTE ALVES,,,,,DEP. LUIZ GOULARTE ALVES,PR,REPUBLICANOS,camara
434,LUIZIANNE DE OLIVEIRA LINS,,,,,DEP. LUIZIANNE DE OLIVEIRA LINS,CE,PT,camara
435,MAGDA MOFATTO HON,,,,,DEP. MAGDA MOFATTO HON,GO,PL,camara
436,FABIANA SILVA DE SOUZA POUBEL,,,,,DEP. FABIANA SILVA DE SOUZA POUBEL,RJ,PSL,camara
437,CYLMARA FERNANDES DA ROCHA GRIPP,MARA ROCHA,,,,DEP. CYLMARA FERNANDES DA ROCHA GRIPP,AC,PSDB,camara
438,MARCEL VAN HATTEM,,,,,DEP. MARCEL VAN HATTEM,RS,NOVO,camara
439,MARCELO HENRIQUE TEIXEIRA DIAS,,,,,DEP. MARCELO HENRIQUE TEIXEIRA DIAS,MG,PSL,camara
440,MARCELO GUILHERME DE ARO FERREIRA,MARCELO ARO,,,,DEP. MARCELO GUILHERME DE ARO FERREIRA,MG,PP,camara
441,MARCELO DE BRUM DA COSTA,,,,,DEP. MARCELO DE BRUM DA COSTA,RS,PSL,camara
442,MARCELO RIBEIRO FREIXO,,,,,DEP. MARCELO RIBEIRO FREIXO,RJ,PSB,camara
443,MARCELO PIRES MORAES,,,,,DEP. MARCELO PIRES MORAES,RS,PTB,camara
444,JOSE MARCELO DO NASCIMENTO NILO,,,,,DEP. JOSE MARCELO DO NASCIMENTO NILO,BA,PSB,camara
445,MARCELO RAMOS RODRIGUES,,,,,DEP. MARCELO RAMOS RODRIGUES,AM,PL,camara
446,MARCIO LUIZ ALVINO DE SOUZA,,,,,DEP. MARCIO LUIZ ALVINO DE SOUZA,SP,PL,camara
447,MARCIO DELLA VALLE BIOLCHI,,,,,DEP. MARCIO DELLA VALLE BIOLCHI,RS,MDB,camara
448,MARCIO DA SILVEIRA LABRE,,,,,DEP. MARCIO DA SILVEIRA LABRE,RJ,PSL,camara
449,MARCIO CARLOS MARINHO,,,,,DEP. MARCIO CARLOS MARINHO,BA,REPUBLICANOS,camara
450,MARCO AURELIO BERTAIOLLI,,,,,DEP. MARCO AURELIO BERTAIOLLI,SP,PSD,camara
451,DIONILSO MATEUS MARCON,,,,,DEP. DIONILSO MATEUS MARCON,RS,PT,camara
452,MARCOS AURELIO PADUA RIBEIRO GONCALVES DE SAMPAIO,,,,,DEP. MARCOS AURELIO PADUA RIBEIRO GONCALVES DE SAMPAIO,PI,MDB,camara
453,MARCOS ANTONIO PEREIRA,,,,,DEP. MARCOS ANTONIO PEREIRA,SP,REPUBLICANOS,camara
454,MARCOS BEZERRA RIBEIRO SOARES,,,,,DEP. MARCOS BEZERRA RIBEIRO SOARES,RJ,DEM,camara
455,MARGARETE DE CASTRO COELHO,,,,,DEP. MARGARETE DE CASTRO COELHO,PI,PP,camara
456,MARIA DO ROSARIO NUNES,,,,,DEP. MARIA DO ROSARIO NUNES,RS,PT,camara
457,MARIA DO PARTO MENDES ROSAS,,,,,DEP. MARIA DO PARTO MENDES ROSAS,SP,REPUBLICANOS,camara
458,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,,,,,DEP. MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,RO,PSDB,camara
459,MARILIA VALENCA ROCHA ARRAES DE ALENCAR,,,,,DEP. MARILIA VALENCA ROCHA ARRAES DE ALENCAR,PE,PT,camara
460,MARINA SANTOS BATISTA DIAS,,,,,DEP. MARINA SANTOS BATISTA DIAS,PI,PL,camara
461,MARIO LUCIO HERINGER,MARIO HERINGER,,,,DEP. MARIO LUCIO HERINGER,MG,PDT,camara
462,MARIO S. M. NEGROMONTE JR.,,,,,DEP. MARIO S. M. NEGROMONTE JR.,BA,PP,camara
463,MARLON ARATOR SANTOS DA ROSA,,,,,DEP. MARLON ARATOR SANTOS DA ROSA,RS,PDT,camara
464,ANTONIO DA CRUZ FILGUEIRA NETO,,,,,DEP. ANTONIO DA CRUZ FILGUEIRA NETO,MA,PATRIOTA,camara
465,MARX BELTRAO LIMA SIQUEIRA,MARX BELTRAO,,,,DEP. MARX BELTRAO LIMA SIQUEIRA,AL,PSD,camara
466,MAURICIO ALEXANDRE DZIEDRICKI,,,,,DEP. MAURICIO ALEXANDRE DZIEDRICKI,RS,PTB,camara
467,CARLOS MAURO BENEVIDES FILHO,,,,,DEP. CARLOS MAURO BENEVIDES FILHO,CE,PDT,camara
468,MAURO RIBEIRO LOPES,MAURO LOPES,,,,DEP. MAURO RIBEIRO LOPES,MG,MDB,camara
469,MAURO NAZIF RASUL,,,,,DEP. MAURO NAZIF RASUL,RO,PSB,camara
470,MERLONG SOLANO NOGUEIRA,,,,,DEP. MERLONG SOLANO NOGUEIRA,PI,PT,camara
471,MIGUEL MOUBADDA HADDAD,,,,,DEP. MIGUEL MOUBADDA HADDAD,SP,PSDB,camara
472,MIGUEL LOMBARDI,,,,,DEP. MIGUEL LOMBARDI,SP,PL,camara
473,MILTON COELHO DA SILVA NETO,,,,,DEP. MILTON COELHO DA SILVA NETO,PE,PSB,camara
474,MILTON VIEIRA PINTO,,,,,DEP. MILTON VIEIRA PINTO,SP,REPUBLICANOS,camara
475,MISAEL ARTUR FERREIRA VARELLA,MISAEL VARELLA,,,,DEP. MISAEL ARTUR FERREIRA VARELLA,MG,PSD,camara
476,MOSES HAENDEL MELO RODRIGUES,,,,,DEP. MOSES HAENDEL MELO RODRIGUES,CE,MDB,camara
477,NATALIA BASTOS BONAVIDES,,,,,DEP. NATALIA BASTOS BONAVIDES,RN,PT,camara
478,NELSON NED PREVIDENTE,,,,,DEP. NELSON NED PREVIDENTE,MT,PSL,camara
479,NEREU CRISPIM,,,,,DEP. NEREU CRISPIM,RS,PSL,camara
480,NERI GELLER,,,,,DEP. NERI GELLER,MT,PP,camara
481,NEUCIMAR FERREIRA FRAGA,NEUCIMAR FRAGA,,,,DEP. NEUCIMAR FERREIRA FRAGA,ES,PSD,camara
482,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO,,,,DEP. NEWTON CARDOSO JUNIOR,MG,MDB,camara
483,ANTONIO CARLOS NICOLETTI,,,,,DEP. ANTONIO CARLOS NICOLETTI,RR,PSL,camara
484,NILSON PINTO DE OLIVEIRA,,,,,DEP. NILSON PINTO DE OLIVEIRA,PA,PSDB,camara
485,NILTO IGNACIO TATTO,,,,,DEP. NILTO IGNACIO TATTO,SP,PT,camara
486,NIVALDO FERREIRA DE ALBUQUERQUE NETO,,,,,DEP. NIVALDO FERREIRA DE ALBUQUERQUE NETO,AL,PTB,camara
487,NORMA AYUB ALVES,,,,,DEP. NORMA AYUB ALVES,ES,DEM,camara
488,ODAIR JOSE DA CUNHA,,,,,DEP. ODAIR JOSE DA CUNHA,MG,PT,camara
489,OLIVAL HENRIQUE MARQUES DE SOUZA,,,,,DEP. OLIVAL HENRIQUE MARQUES DE SOUZA,PA,DEM,camara
490,ORLANDO SILVA DE JESUS JUNIOR,,,,,DEP. ORLANDO SILVA DE JESUS JUNIOR,SP,PCdoB,camara
491,OSIRES RODRIGUES DAMASO,,,,,DEP. OSIRES RODRIGUES DAMASO,TO,PSC,camara
492,OSMAR JOSE SERRAGLIO,,,,,DEP. OSMAR JOSE SERRAGLIO,PR,PP,camara
493,OSMAR GASPARINI TERRA,,,,,DEP. OSMAR GASPARINI TERRA,RS,MDB,camara
494,OSSESIO JOSE DA SILVA,,,,,DEP. OSSESIO JOSE DA SILVA,PE,REPUBLICANOS,camara
495,OTAVIO SANTOS SILVA LEITE,,,,,DEP. OTAVIO SANTOS SILVA LEITE,RJ,PSDB,camara
496,OTONI MOURA DE PAULO JUNIOR,,,,,DEP. OTONI MOURA DE PAULO JUNIOR,RJ,PSC,camara
497,JOSE OTACI BARROSO DO NASCIMENTO,,,,,DEP. JOSE OTACI BARROSO DO NASCIMENTO,RR,SOLIDARIEDADE,camara
498,OTTO ROBERTO MENDONCA DE ALENCAR FILHO,,,,,DEP. OTTO ROBERTO MENDONCA DE ALENCAR FILHO,BA,PSD,camara
499,JOAO CARLOS SIQUEIRA,PADRE JOAO,,,,DEP. JOAO CARLOS SIQUEIRA,MG,PT,camara
500,FRANCISCO EURICO DA SILVA,,,,,DEP. FRANCISCO EURICO DA SILVA,PE,PATRIOTA,camara
501,GILDENEMIR DE LIMA SOUSA,,,,,DEP. GILDENEMIR DE LIMA SOUSA,MA,PL,camara
502,MANOEL ISIDORIO DE SANTANA JUNIOR,,,,,DEP. MANOEL ISIDORIO DE SANTANA JUNIOR,BA,AVANTE,camara
503,PATRUS ANANIAS DE SOUZA,PATRUS ANANIAS,,,,DEP. PATRUS ANANIAS DE SOUZA,MG,PT,camara
504,PAULA MORENO PARO BELMONTE,,,,,DEP. PAULA MORENO PARO BELMONTE,DF,CIDADANIA,camara
505,PAULO FERNANDO DOS SANTOS,,,,,DEP. PAULO FERNANDO DOS SANTOS,AL,PT,camara
506,PAULO ABI-ACKEL,PAULO ABI ACKEL,,,,DEP. PAULO ABI-ACKEL,MG,PSDB,camara
507,PAULO VELLOSO DANTAS AZI,,,,,DEP. PAULO VELLOSO DANTAS AZI,BA,DEM,camara
508,PAULO EDUARDO MAESTRI BENGTSON,,,,,DEP. PAULO EDUARDO MAESTRI BENGTSON,PA,PTB,camara
509,PAULO EDUARDO LIMA MARTINS,,,,,DEP. PAULO EDUARDO LIMA MARTINS,PR,PSC,camara
510,PAULO ROBERTO FREIRE DA COSTA,,,,,DEP. PAULO ROBERTO FREIRE DA COSTA,SP,PL,camara
511,PAULO GUSTAVO GANIME ALVES TEIXEIRA,,,,,DEP. PAULO GUSTAVO GANIME ALVES TEIXEIRA,RJ,NOVO,camara
512,PAULO JOSE CARLOS GUEDES,PAULO GUEDES,,,,DEP. PAULO JOSE CARLOS GUEDES,MG,PT,camara
513,PAULO SERGIO PARANHOS DE MAGALHAES,,,,,DEP. PAULO SERGIO PARANHOS DE MAGALHAES,BA,PSD,camara
514,PAULO PEREIRA DA SILVA,,,,,DEP. PAULO PEREIRA DA SILVA,SP,SOLIDARIEDADE,camara
515,PAULO ROBERTO SEVERO PIMENTA,,,,,DEP. PAULO ROBERTO SEVERO PIMENTA,RS,PT,camara
516,PAULO SERGIO RAMOS BARBOZA,,,,,DEP. PAULO SERGIO RAMOS BARBOZA,RJ,PDT,camara
517,LUIZ PAULO TEIXEIRA FERREIRA,,,,,DEP. LUIZ PAULO TEIXEIRA FERREIRA,SP,PT,camara
518,PAULO VICENTE CALEFFI,,,,,DEP. PAULO VICENTE CALEFFI,RS,PSD,camara
519,PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,,,,,DEP. PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,CE,PTB,camara
520,PEDRO AUGUSTO PALARETI,,,,,DEP. PEDRO AUGUSTO PALARETI,RJ,PSD,camara
521,PEDRO OLIVEIRA CUNHA LIMA,,,,,DEP. PEDRO OLIVEIRA CUNHA LIMA,PB,PSDB,camara
522,PEDRO DOS SANTOS MARTINS,,,,,DEP. PEDRO DOS SANTOS MARTINS,AP,PSC,camara
523,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,,,,,DEP. PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,MA,PTB,camara
524,PEDRO DEBONI LUPION MELLO,,,,,DEP. PEDRO DEBONI LUPION MELLO,PR,DEM,camara
525,PEDRO FRANCISCO UCZAI,,,,,DEP. PEDRO FRANCISCO UCZAI,SC,PT,camara
526,PEDRO TORRES BRANDAO VILELA,,,,,DEP. PEDRO TORRES BRANDAO VILELA,AL,PSDB,camara
527,PEDRO BANDARRA WESTPHALEN,,,,,DEP. PEDRO BANDARRA WESTPHALEN,RS,PP,camara
528,MARIA PERPETUA DE ALMEIDA,PERPETUA ALMEIDA,,,,DEP. MARIA PERPETUA DE ALMEIDA,AC,PCdoB,camara
529,ANTONIO PINHEIRO NETO,,,,,DEP. ANTONIO PINHEIRO NETO,MG,PP,camara
530,KATIA DA SILVA SASTRE,,,,,DEP. KATIA DA SILVA SASTRE,SP,PL,camara
531,DARCI POMPEO DE MATTOS,,,,,DEP. DARCI POMPEO DE MATTOS,RS,PDT,camara
532,MARCO ANTONIO FELICIANO,,,,,DEP. MARCO ANTONIO FELICIANO,SP,PL,camara
533,ALCIDES RIBEIRO FILHO,,,,,DEP. ALCIDES RIBEIRO FILHO,GO,PP,camara
534,ISRAEL MATOS BATISTA,,,,,DEP. ISRAEL MATOS BATISTA,DF,PV,camara
535,JOZIEL FERREIRA CARLOS,,,,,DEP. JOZIEL FERREIRA CARLOS,RJ,PSL,camara
536,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,,,,,DEP. DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,BA,PSL,camara
537,MARIA AUXILIADORA SEABRA REZENDE,,,,,DEP. MARIA AUXILIADORA SEABRA REZENDE,TO,DEM,camara
538,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,,,,,DEP. MARCIVANIA DO SOCORRO DA ROCHA FLEXA,AP,PCdoB,camara
539,ROSA NEIDE SANDES DE ALMEIDA,,,,,DEP. ROSA NEIDE SANDES DE ALMEIDA,MT,PT,camara
540,RAFAEL HUETE DA MOTTA,,,,,DEP. RAFAEL HUETE DA MOTTA,RN,PSB,camara
541,RAIMUNDO MAGALHAES COSTA,,,,,DEP. RAIMUNDO MAGALHAES COSTA,BA,PL,camara
542,RAUL JEAN LOUIS HENRY JUNIOR,,,,,DEP. RAUL JEAN LOUIS HENRY JUNIOR,PE,MDB,camara
543,REGINALDO LAZARO DE OLIVEIRA LOPES,,,,,DEP. REGINALDO LAZARO DE OLIVEIRA LOPES,MG,PT,camara
544,REINHOLD STEPHANES JUNIOR,,,,,DEP. REINHOLD STEPHANES JUNIOR,PR,PSD,camara
545,REJANE RIBEIRO SOUSA DIAS,,,,,DEP. REJANE RIBEIRO SOUSA DIAS,PI,PT,camara
546,RENATA HELLMEISTER DE ABREU,,,,,DEP. RENATA HELLMEISTER DE ABREU,SP,PODE,camara
547,RENILDO VASCONCELOS CALHEIROS,,,,,DEP. RENILDO VASCONCELOS CALHEIROS,PE,PCdoB,camara
548,RICARDO JOSE MAGALHAES BARROS,,,,,DEP. RICARDO JOSE MAGALHAES BARROS,PR,PP,camara
549,RICARDO CORREA DE BARROS,,,,,DEP. RICARDO CORREA DE BARROS,RJ,PSC,camara
550,RICARDO ZANATTA GUIDI,,,,,DEP. RICARDO ZANATTA GUIDI,SC,PSD,camara
551,RICARDO IZAR JUNIOR,,,,,DEP. RICARDO IZAR JUNIOR,SP,PP,camara
552,RICARDO AUGUSTO MACHADO DA SILVA,,,,,DEP. RICARDO AUGUSTO MACHADO DA SILVA,SP,PSB,camara
553,RICARDO TEOBALDO CAVALCANTI,,,,,DEP. RICARDO TEOBALDO CAVALCANTI,PE,PODE,camara
554,MARCOS ROBERIO RIBEIRO MONTEIRO,,,,,DEP. MARCOS ROBERIO RIBEIRO MONTEIRO,CE,PDT,camara
555,ROBERTO ALVES DE LUCENA,,,,,DEP. ROBERTO ALVES DE LUCENA,SP,PODE,camara
556,RODRIGO ANTONIO DE AGOSTINHO MENDONCA,,,,,DEP. RODRIGO ANTONIO DE AGOSTINHO MENDONCA,SP,PSB,camara
557,RODRIGO COELHO,,,,,DEP. RODRIGO COELHO,SC,PODE,camara
558,RODRIGO BATISTA DE CASTRO,,,,,DEP. RODRIGO BATISTA DE CASTRO,MG,PSDB,camara
559,ROGERIO CORREIA DE MOURA BAPTISTA,ROGERIO CORREIA,,,,DEP. ROGERIO CORREIA DE MOURA BAPTISTA,MG,PT,camara
560,ROGERIO MENDONCA,,,,,DEP. ROGERIO MENDONCA,SC,MDB,camara
561,EVANDRO ROGERIO ROMAN,,,,,DEP. EVANDRO ROGERIO ROMAN,PR,PATRIOTA,camara
562,RONALDO CARLETTO,,,,,DEP. RONALDO CARLETTO,BA,PP,camara
563,ROSANA DE OLIVEIRA VALLE,,,,,DEP. ROSANA DE OLIVEIRA VALLE,SP,PSB,camara
564,ROSANGELA DE SOUZA GOMES,,,,,DEP. ROSANGELA DE SOUZA GOMES,RJ,REPUBLICANOS,camara
565,ROSIANE MODESTO DE OLIVEIRA,,,,,DEP. ROSIANE MODESTO DE OLIVEIRA,MS,PSDB,camara
566,VALDIR LUIZ ROSSONI,,,,,DEP. VALDIR LUIZ ROSSONI,PR,PSDB,camara
567,RUBENS BUENO,,,,,DEP. RUBENS BUENO,PR,CIDADANIA,camara
568,RUBENS OTONI GOMIDE,,,,,DEP. RUBENS OTONI GOMIDE,GO,PT,camara
569,RUBENS PEREIRA E SILVA JUNIOR,,,,,DEP. RUBENS PEREIRA E SILVA JUNIOR,MA,PCdoB,camara
570,RUI GOETHE DA COSTA FALCAO,,,,,DEP. RUI GOETHE DA COSTA FALCAO,SP,PT,camara
571,RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,,,,,DEP. RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,PB,PSDB,camara
572,SAMIA DE SOUZA BOMFIM,,,,,DEP. SAMIA DE SOUZA BOMFIM,SP,PSOL,camara
573,SAMUEL MOREIRA DA SILVA JUNIOR,,,,,DEP. SAMUEL MOREIRA DA SILVA JUNIOR,SP,PSDB,camara
574,UBIRATAN ANTUNES SANDERSON,,,,,DEP. UBIRATAN ANTUNES SANDERSON,RS,PSL,camara
575,GILSON CARDOSO FAHUR,,,,,DEP. GILSON CARDOSO FAHUR,PR,PSD,camara
576,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,,,,,DEP. SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,PE,AVANTE,camara
577,SERGIO LUIS LACERDA BRITO,,,,,DEP. SERGIO LUIS LACERDA BRITO,BA,PSD,camara
578,SERGIO DE SOUZA,,,,,DEP. SERGIO DE SOUZA,PR,MDB,camara
579,SERGIO TOLEDO DE ALBUQUERQUE,,,,,DEP. SERGIO TOLEDO DE ALBUQUERQUE,AL,PL,camara
580,SEVERINO DE LIRA PESSOA,,,,,DEP. SEVERINO DE LIRA PESSOA,AL,REPUBLICANOS,camara
581,SHERIDAN ESTERFANY OLIVEIRA,,,,,DEP. SHERIDAN ESTERFANY OLIVEIRA,RR,PSDB,camara
582,SIDNEY RICARDO DE OLIVEIRA LEITE,,,,,DEP. SIDNEY RICARDO DE OLIVEIRA LEITE,AM,PSD,camara
583,SILAS CAMARA,SILAS CAMARA,,,,DEP. SILAS CAMARA,AM,REPUBLICANOS,camara
584,SILVIA CRISTINA AMANCIO CHAGAS,,,,,DEP. SILVIA CRISTINA AMANCIO CHAGAS,RO,PDT,camara
585,SILVIO SERAFIM COSTA FILHO,,,,,DEP. SILVIO SERAFIM COSTA FILHO,PE,REPUBLICANOS,camara
586,SORAYA ALENCAR DOS SANTOS,,,,,DEP. SORAYA ALENCAR DOS SANTOS,RJ,PL,camara
587,SOSTENES SILVA CAVALCANTE,,,,,DEP. SOSTENES SILVA CAVALCANTE,RJ,DEM,camara
588,STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,,,,DEP. STEFANO AGUIAR DOS SANTOS,MG,PSD,camara
589,LUIZ GONZAGA RIBEIRO,SUBTENENTE GONZAGA,,,,DEP. LUIZ GONZAGA RIBEIRO,MG,PDT,camara
590,TABATA CLAUDIA AMARAL DE PONTES,,,,,DEP. TABATA CLAUDIA AMARAL DE PONTES,SP,PSB,camara
591,FRANCISCO TADEU BARBOSA DE ALENCAR,,,,,DEP. FRANCISCO TADEU BARBOSA DE ALENCAR,PE,PSB,camara
592,TALIRIA PETRONE SOARES,,,,,DEP. TALIRIA PETRONE SOARES,RJ,PSOL,camara
593,JOAO BATISTA CONTI,,,,,DEP. JOAO BATISTA CONTI,ES,PSB,camara
594,TEREZA NELMA DA SILVA PORTO VIANA SOARES,,,,,DEP. TEREZA NELMA DA SILVA PORTO VIANA SOARES,AL,PSDB,camara
595,ERONILDES VASCONCELOS CARVALHO,,,,,DEP. ERONILDES VASCONCELOS CARVALHO,BA,REPUBLICANOS,camara
596,TIAGO DIMAS BRAGA PEREIRA,,,,,DEP. TIAGO DIMAS BRAGA PEREIRA,TO,SOLIDARIEDADE,camara
597,TIAGO LIMA MITRAUD DE CASTRO LEITE,,,,,DEP. TIAGO LIMA MITRAUD DE CASTRO LEITE,MG,NOVO,camara
598,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,,,,,DEP. FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,SP,PL,camara
599,CARLOS TITO MARQUES CORDEIRO,,,,,DEP. CARLOS TITO MARQUES CORDEIRO,BA,AVANTE,camara
600,ANTONIO WANDSCHEER,,,,,DEP. ANTONIO WANDSCHEER,PR,PROS,camara
601,TULIO GADELHA SALES DE MELO,,,,,DEP. TULIO GADELHA SALES DE MELO,PE,PDT,camara
602,ULDURICO ALENCAR PINTO,ULDURICO JUNIOR,,,,DEP. ULDURICO ALENCAR PINTO,BA,PROS,camara
603,FRANCISCO VAIDON OLIVEIRA,,,,,DEP. FRANCISCO VAIDON OLIVEIRA,CE,PROS,camara
604,JOSE VALDEVAN DE JESUS SANTOS,,,,,DEP. JOSE VALDEVAN DE JESUS SANTOS,SE,PL,camara
605,VALMIR CARLOS DA ASSUNCAO,,,,,DEP. VALMIR CARLOS DA ASSUNCAO,BA,PT,camara
606,VANDER LUIZ DOS SANTOS LOUBET,,,,,DEP. VANDER LUIZ DOS SANTOS LOUBET,MS,PT,camara
607,VANDERLEI MACRIS,,,,,DEP. VANDERLEI MACRIS,SP,PSDB,camara
608,WAGNER BACH MARTINS,,,,,DEP. WAGNER BACH MARTINS,PA,REPUBLICANOS,camara
609,NELSI COGUETTO MARIA,,,,,DEP. NELSI COGUETTO MARIA,PR,PSD,camara
610,VICENTE PAULO DA SILVA,,,,,DEP. VICENTE PAULO DA SILVA,SP,PT,camara
611,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JUNIOR,,,,DEP. VICENTE ALVES DE OLIVEIRA JUNIOR,TO,PL,camara
612,VILSON LUIZ DA SILVA,VILSON DA FETAEMG,,,,DEP. VILSON LUIZ DA SILVA,MG,PSB,camara
613,VINICIUS RAPOZO DE CARVALHO,,,,,DEP. VINICIUS RAPOZO DE CARVALHO,SP,REPUBLICANOS,camara
614,VINICIUS LAZZER POIT,,,,,DEP. VINICIUS LAZZER POIT,SP,NOVO,camara
615,VITOR HUGO DE ARAUJO ALMEIDA,,,,,DEP. VITOR HUGO DE ARAUJO ALMEIDA,GO,PSL,camara
616,VITOR LIPPI,,,,,DEP. VITOR LIPPI,SP,PSDB,camara
617,VIVIANE DA COSTA REIS,,,,,DEP. VIVIANE DA COSTA REIS,PA,PSOL,camara
618,WALDENOR ALVES PEREIRA FILHO,,,,,DEP. WALDENOR ALVES PEREIRA FILHO,BA,PT,camara
619,WALTER PEREIRA ALVES,,,,,DEP. WALTER PEREIRA ALVES,RN,MDB,camara
620,WELITON FERNANDES PRADO,WELITON PRADO,,,,DEP. WELITON FERNANDES PRADO,MG,PROS,camara
621,JOSE WELLINGTON ROBERTO,,,,,DEP. JOSE WELLINGTON ROBERTO,PB,PL,camara
622,JOSE WILSON SANTIAGO,,,,,DEP. JOSE WILSON SANTIAGO,PB,PTB,camara
623,WOLNEY QUEIROZ MACIEL,,,,,DEP. WOLNEY QUEIROZ MACIEL,PE,PDT,camara
624,JOSE CARLOS NUNES JUNIOR,,,,,DEP. JOSE CARLOS NUNES JUNIOR,MA,PT,camara
625,JOSE CERQUEIRA DE SANTANA NETO,,,,,DEP. JOSE CERQUEIRA DE SANTANA NETO,BA,PT,camara
626,JOSE SILVA SOARES,ZE SILVA,,,,DEP. JOSE SILVA SOARES,MG,SOLIDARIEDADE,camara
627,JOSE VITOR DE RESENDE AGUIAR,ZE VITOR,,,,DEP. JOSE VITOR DE RESENDE AGUIAR,MG,PL,camara
628,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,,,,,DEP. JOSE CARLOS BECKER DE OLIVEIRA E SILVA,PR,PT,camara
629,JOSE LOURENÇO BOMFIM JUNIOR,,,JUNIOR LOURENCO	,,DEP. JOSE LOURENÇO BOMFIM JUNIOR,MA,PL,camara
